,start_station_name,end_station_name,start_lat,start_lng,end_lat,end_lng,value
7711,Central Park S & 6 Ave,Central Park S & 6 Ave,40.76590936,-73.97634151,40.76590936,-73.97634151,109
155,7 Ave & Central Park South,7 Ave & Central Park South,40.766973972,-73.979063511,40.7667405590595,-73.9790689945221,83
4308,Grand Army Plaza & Central Park S,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,40.7643971,-73.97371465,82
1694,Roosevelt Island Tramway,Roosevelt Island Tramway,40.757284,-73.9536,40.757284,-73.9536,74
29,Soissons Landing,Soissons Landing,40.692317,-74.014866,40.692317,-74.014866,69
1874,W 21 St & 6 Ave,9 Ave & W 22 St,40.74173969,-73.99415556,40.7454973,-74.00197139,68
4837,Yankee Ferry Terminal,Yankee Ferry Terminal,40.68706579875912,-74.01675585121666,40.68706579875912,-74.01675585121666,58
4253,West Drive & Prospect Park West,West Drive & Prospect Park West,40.661190391,-73.979339838,40.6610633719006,-73.97945255041122,52
6085,12 Ave & W 40 St,12 Ave & W 40 St,40.76087502,-74.00277668,40.76087502,-74.00277668,51
3350,W 26 St & 8 Ave,10 Ave & W 28 St,40.74734825,-73.99723551,40.75066386,-74.00176802,50
3408,West St & Chambers St,Pier 40 - Hudson River Park,40.71754834,-74.01322069,40.7277140777778,-74.01129573583603,50
3354,Henry St & Grand St,Norfolk St & Broome St,40.714211,-73.981095,40.7172274,-73.98802084,49
5960,West St & Chambers St,West St & Chambers St,40.71754834,-74.01322069,40.71754834,-74.01322069,48
8748,Yankee Ferry Terminal,Soissons Landing,40.68706579875912,-74.01675585121666,40.69231660719192,-74.01486575603485,48
10240,Central Park West & W 68 St,Central Park West & W 68 St,40.7734066,-73.97782542,40.7734066,-73.97782542,48
2499,Norfolk St & Broome St,Henry St & Grand St,40.7172274,-73.98802084,40.714211,-73.981095,47
10038,Broadway & W 41 St,Broadway & W 41 St,40.75513557,-73.98658032,40.75513557,-73.98658032,47
11506,Roosevelt Island Tramway,Motorgate,40.757284,-73.9536,40.7639089,-73.9477213,47
11842,1 Ave & E 62 St,1 Ave & E 68 St,40.7612274,-73.96094022,40.76500525,-73.95818491,47
3916,W 20 St & 10 Ave,W 21 St & 6 Ave,40.745686,-74.005141,40.74173969,-73.99415556,46
