,date,avgTemp,bike_rides_daily
0,2022-01-01,11.6,206
206,2022-01-02,11.4,431
637,2022-01-03,1.4,328
965,2022-01-04,-2.7,330
1295,2022-01-05,3.2,334
1629,2022-01-06,4.9,462
2091,2022-01-07,0.7,190
2281,2022-01-08,-2.5,240
2521,2022-01-09,1.4,199
2720,2022-01-10,1.6,380
3100,2022-01-11,-5.4,256
3356,2022-01-12,-1.9,405
3761,2022-01-13,4.0,487
4248,2022-01-14,4.8,467
4715,2022-01-15,-6.7,235
4950,2022-01-16,-8.0,221
5171,2022-01-17,3.9,282
5453,2022-01-18,1.8,442
5895,2022-01-19,3.2,580
6475,2022-01-20,5.1,357
6832,2022-01-21,-6.0,338
7170,2022-01-22,-5.9,336
7506,2022-01-23,-0.7,332
7838,2022-01-24,-0.2,424
8262,2022-01-25,3.6,495
8757,2022-01-26,-2.3,426
9183,2022-01-27,-4.2,441
9624,2022-01-28,0.1,355
9979,2022-01-29,-4.8,20
9999,2022-01-30,-7.1,91
10090,2022-01-31,-3.4,244
10334,2022-02-01,-1.7,313
10647,2022-02-02,2.3,430
11077,2022-02-03,6.4,274
11351,2022-02-04,5.8,182
11533,2022-02-05,-2.8,285
11818,2022-02-06,-4.8,296
12114,2022-02-07,0.5,295
12409,2022-02-08,4.1,533
12942,2022-02-09,2.8,528
13470,2022-02-10,6.3,677
14147,2022-02-11,8.6,612
14759,2022-02-12,11.8,621
15380,2022-02-13,2.8,200
15580,2022-02-14,-4.3,318
15898,2022-02-15,-4.7,431
16329,2022-02-16,1.6,529
16858,2022-02-17,11.6,677
17535,2022-02-18,9.9,512
18047,2022-02-19,0.1,312
18359,2022-02-20,-2.6,313
18672,2022-02-21,4.1,544
19216,2022-02-22,5.6,353
19569,2022-02-23,14.4,683
20252,2022-02-24,1.1,430
20682,2022-02-25,0.8,293
20975,2022-02-26,-1.1,440
21415,2022-02-27,2.4,409
21824,2022-02-28,0.8,494
22318,2022-03-01,2.6,569
22887,2022-03-02,7.7,655
23542,2022-03-03,5.6,556
24098,2022-03-04,-1.9,523
24621,2022-03-05,3.1,503
25124,2022-03-06,9.6,528
25652,2022-03-07,18.2,665
26317,2022-03-08,8.7,617
26934,2022-03-09,3.2,284
27218,2022-03-10,4.0,668
27886,2022-03-11,7.2,671
28557,2022-03-12,5.1,222
28779,2022-03-13,-2.3,310
29089,2022-03-14,5.3,630
29719,2022-03-15,11.6,815
30534,2022-03-16,13.6,840
31374,2022-03-17,8.2,494
31868,2022-03-18,13.9,920
32788,2022-03-19,13.1,839
33627,2022-03-20,14.3,681
34308,2022-03-21,10.4,723
35031,2022-03-22,10.7,730
35761,2022-03-23,7.2,606
36367,2022-03-24,5.7,445
36812,2022-03-25,9.6,749
